D,E,G,J,N,O,Q,S,U,V,X,Z,,,,,,
B,D,E,G,I,N,O,Q,T,U,V,W,X,Z,,,,
B,E,L,N,O,P,Q,U,V,Y,Z,,,,,,,
D,E,G,J,K,O,P,Q,U,V,Z,,,,,,,
A,D,E,G,I,J,K,N,Q,S,U,V,X,Z,,,,
A,B,D,E,G,J,K,L,N,O,P,Q,T,V,W,X,Y,Z
B,D,E,I,N,T,V,X,Y,Z,,,,,,,,
D,E,I,J,O,Q,V,X,Z,,,,,,,,,
B,D,E,F,G,I,J,K,N,O,Q,V,X,Z,,,,
B,D,E,K,P,Q,S,U,V,X,Z,,,,,,,
D,E,J,L,N,U,V,W,X,,,,,,,,,
A,D,J,N,O,P,Q,S,V,W,X,Z,,,,,,
E,I,K,N,O,Q,S,V,X,Z,,,,,,,,
B,D,E,G,N,Q,T,V,W,X,Z,,,,,,,
B,D,E,G,J,Q,S,U,W,X,Z,,,,,,,
B,D,J,N,O,P,Q,V,W,Z,,,,,,,,
D,G,K,N,O,Q,U,W,Y,Z,,,,,,,,
D,E,I,K,L,Q,V,X,,,,,,,,,,
G,L,N,O,S,T,U,V,W,X,Z,,,,,,,
D,E,G,I,L,N,O,Q,V,W,X,Z,,,,,,
A,E,H,J,N,Q,R,S,T,V,W,X,Z,,,,,
D,E,I,L,N,P,Q,V,X,Z,,,,,,,,
B,D,G,I,J,K,N,Q,S,W,Z,,,,,,,
A,B,D,E,J,K,L,M,N,O,Q,U,W,X,Z,,,
B,D,M,N,O,P,Q,S,V,W,X,Z,,,,,,
A,B,E,J,N,O,V,Y,,,,,,,,,,
B,D,E,H,K,N,O,Q,U,X,Z,,,,,,,
A,B,D,E,G,L,N,Q,S,U,V,Z,,,,,,
B,D,F,I,J,K,L,N,Q,V,W,X,,,,,,
A,D,E,G,N,O,P,Q,V,X,,,,,,,,
D,E,K,L,N,O,Q,R,S,V,W,,,,,,,
B,D,G,J,N,O,P,Q,V,X,Z,,,,,,,
A,D,E,J,K,L,N,O,P,Q,T,U,V,X,Y,Z,,
B,E,G,I,L,N,O,Q,U,Z,,,,,,,,
B,D,G,I,N,O,Q,S,U,V,W,X,Y,Z,,,,
B,E,O,Q,S,W,Z,,,,,,,,,,,
A,B,D,E,G,N,O,P,Q,U,V,Y,,,,,,
D,E,H,J,K,Q,U,V,Z,,,,,,,,,
E,G,I,L,T,U,V,X,Y,Z,,,,,,,,
A,D,E,G,J,N,Q,W,X,,,,,,,,,
B,D,E,L,O,P,V,X,Z,,,,,,,,,
B,D,E,J,K,L,N,O,P,Q,S,V,X,,,,,
B,D,G,H,I,J,O,Q,S,V,W,X,Z,,,,,
A,B,D,E,F,G,H,L,N,O,U,V,W,Z,,,,
D,E,G,I,N,Q,V,X,Z,,,,,,,,,
A,D,E,G,K,M,N,Q,U,V,X,,,,,,,
D,N,O,Q,V,W,X,Y,,,,,,,,,,
B,D,E,F,G,L,N,S,V,X,Z,,,,,,,
B,E,J,K,L,N,O,Q,T,U,V,W,X,Z,,,,
A,D,E,I,J,K,N,O,Q,V,W,X,Y,,,,,
B,D,E,G,J,K,N,O,Q,V,W,Z,,,,,,
A,B,D,E,G,J,N,Q,V,W,X,,,,,,,
B,D,E,G,I,L,N,O,Q,R,S,T,U,V,W,X,Z,
B,D,E,I,L,N,O,Q,S,U,V,W,X,,,,,
A,B,D,E,F,G,N,O,Q,T,V,X,Y,Z,,,,
D,I,K,N,O,Q,U,V,X,Z,,,,,,,,
D,E,G,K,O,Q,X,Z,,,,,,,,,,
A,E,F,J,K,Q,S,T,Z,,,,,,,,,
A,E,J,K,N,O,P,Q,V,W,X,Y,Z,,,,,
B,D,E,G,I,J,K,N,O,Q,T,U,V,W,X,,,
A,B,D,E,G,I,L,N,P,Q,S,V,W,X,Z,,,
B,D,E,J,K,L,N,O,Q,S,V,W,X,Y,Z,,,
D,E,H,K,M,N,Q,S,U,V,W,X,,,,,,
B,D,E,J,N,O,Q,U,V,W,X,Z,,,,,,
A,E,J,L,N,O,Q,U,V,W,X,,,,,,,
D,G,J,N,Q,U,V,W,X,,,,,,,,,
A,B,D,E,F,J,L,N,O,P,V,W,X,Z,,,,
B,D,I,J,K,M,V,W,X,Z,,,,,,,,
B,D,E,G,J,N,O,Q,V,W,X,Y,Z,,,,,
B,D,K,N,P,Q,U,V,W,Z,,,,,,,,
E,J,K,N,O,Q,S,V,X,Z,,,,,,,,
A,D,G,N,O,Q,V,W,Z,,,,,,,,,
B,D,E,G,H,J,L,Q,T,V,X,Z,,,,,,
E,G,I,J,Q,Z,,,,,,,,,,,,
D,E,I,J,K,L,N,P,Q,S,U,V,W,X,,,,
D,I,J,N,Q,T,V,X,Z,,,,,,,,,
A,B,D,E,K,L,N,O,Q,U,V,W,X,,,,,
B,D,E,G,K,L,N,Q,T,U,W,X,Z,,,,,
A,B,D,J,N,O,Q,S,V,W,X,Z,,,,,,
A,B,D,E,N,Q,U,V,W,X,,,,,,,,
B,D,J,N,O,P,Q,R,U,V,X,,,,,,,
B,J,N,O,P,Q,V,X,Y,Z,,,,,,,,
A,D,E,G,J,K,L,M,O,Q,V,X,Z,,,,,
A,B,D,E,G,N,Q,V,W,X,Z,,,,,,,
E,J,N,O,Q,U,V,W,X,Z,,,,,,,,
D,E,H,I,J,K,N,O,P,R,V,W,Z,,,,,
A,D,E,N,O,Q,U,W,Z,,,,,,,,,
B,D,E,J,L,N,O,S,W,X,,,,,,,,
A,B,J,K,N,O,P,Q,U,W,X,Z,,,,,,
B,D,E,G,H,I,J,Q,U,X,Y,,,,,,,
A,B,D,G,I,M,N,O,Q,S,V,W,Z,,,,,
B,D,I,L,N,O,Q,V,W,X,Y,Z,,,,,,
A,D,E,I,J,L,N,Q,V,W,,,,,,,,
A,B,D,E,G,J,O,R,T,V,W,Z,,,,,,
A,D,E,G,I,J,L,N,O,P,Q,W,X,Z,,,,
A,B,D,E,I,J,K,L,N,O,Q,R,V,X,,,,
A,G,I,J,L,N,O,Q,T,W,X,Z,,,,,,
B,D,F,K,L,M,N,O,Q,V,Y,,,,,,,
A,B,D,E,G,O,Q,T,U,V,W,X,Y,Z,,,,
A,D,E,I,L,N,O,P,Q,V,W,X,Z,,,,,
